concentration,solidsFlux
0,0
0.001403213,-0.06212859
0.004025611,-0.12419967
0.005444159,-0.198711805
0.009331749,-0.2731856
0.011984818,-0.347678565
0.015903079,-0.434574244
0.019882682,-0.546313691
0.023877621,-0.66426408
0.027841889,-0.769792585
0.032454089,-0.88773339
0.038308477,-1.008760495
0.043576276,-1.14221907
0.04635203,-1.266399571
0.054050531,-1.384292451
0.063106238,-1.551853698
0.070866081,-1.694590346
0.078579918,-1.818694169
0.088191542,-1.961402063
0.099037687,-2.104090787
0.11043975,-2.221926159
0.120545949,-2.314936932
0.129386957,-2.395544991
0.141885519,-2.457462715
0.15311889,-2.506977725
0.168040486,-2.550224284
0.18657363,-2.556147682
0.207514473,-2.537188974
0.222206035,-2.487271403
0.238101445,-2.424912778
0.251527815,-2.362592493
0.261265959,-2.306540659
0.273427136,-2.231817659
0.28560365,-2.163305601
0.297718821,-2.069949776
0.306176437,-1.995284285
0.315853238,-1.914388682
0.326764559,-1.83347391
0.336456696,-1.75878925
0.346133497,-1.677893647
0.357029483,-1.590767933
0.37039451,-1.50360388
0.383698194,-1.391596059
0.39703255,-1.292010122
0.413460875,-1.195481731
0.424951118,-1.09903002
0.43953533,-1.005635855
0.454119541,-0.91224169
0.46751524,-0.837499521
0.480926274,-0.768968294
0.495571828,-0.700417897
0.510186712,-0.619445616
0.528505157,-0.538415826
0.545604417,-0.463616148
0.560280643,-0.407487636
0.573722348,-0.351378292
0.588383238,-0.289038838
0.600590423,-0.232948664
0.612797608,-0.17685849
0.624989457,-0.114557375
0.63593145,-0.046064486
0.641996703,0
